T;WV;WK;BZ;SPR;WBER;ABG;UNG;SPOE;FPOE;OEVP;GRUE;NEOS;WWW;ANDAS;GFW;SLP;WIFF;M;FREIE
4;1;5;10;14;800;460;14;234;147;14;17;10;0;0;24;0;0;0;0
4;1;9;14;19;896;688;38;208;158;136;86;60;0;2;0;0;0;0;0
4;1;1;6;20;766;446;5;174;77;50;90;43;1;3;3;0;0;0;0
4;1;5;10;118;737;523;19;186;272;8;14;18;3;3;0;0;0;0;0
4;1;1;5;20;599;354;7;185;87;31;24;12;1;5;2;0;0;0;0
4;1;4;3;33;649;339;2;132;98;32;38;24;0;8;5;0;0;0;0
4;1;14;19;24;827;500;5;185;129;76;51;49;0;4;1;0;0;0;0
4;1;17;22;27;450;300;9;138;114;10;11;7;2;3;6;0;0;0;0
4;1;3;2;77;843;454;9;188;203;19;23;8;0;2;2;0;0;0;0
4;1;11;16;65;923;598;12;278;169;48;40;26;2;9;14;0;0;0;0
4;1;7;12;10;933;546;14;180;146;56;98;36;1;11;4;0;0;0;0
4;1;16;21;7;724;436;3;182;168;28;29;17;1;2;0;0;6;0;0
4;1;17;22;99;918;634;25;310;200;36;33;27;0;2;0;0;0;1;0
4;1;18;23;86;559;404;6;169;186;16;7;9;1;5;5;0;0;0;0
4;1;4;3;40;1033;613;18;227;117;91;80;69;0;10;1;0;0;0;0
4;1;8;13;46;0;6060;54;1983;1345;1342;674;609;12;33;8;0;0;0;0
4;1;1;4;21;934;512;22;198;98;62;77;48;0;6;1;0;0;0;0
4;1;18;23;7;602;450;17;185;144;34;40;26;1;3;0;0;0;0;0
4;1;6;11;69;903;528;11;203;249;16;14;15;0;4;16;0;0;0;0
4;1;17;22;51;780;512;10;219;215;22;17;17;0;3;8;0;0;1;0
4;1;10;15;1;1086;593;26;258;246;15;21;8;1;3;15;0;0;0;0
4;1;7;12;44;1116;608;39;268;233;12;13;9;0;4;30;0;0;0;0
4;1;7;12;60;839;545;12;209;166;61;46;36;1;9;5;0;0;0;0
4;1;3;2;32;520;324;13;135;67;26;60;19;0;3;1;0;0;0;0
4;1;16;21;5;652;405;26;198;134;17;12;7;1;1;0;0;9;0;0
4;1;5;10;51;522;278;8;89;106;17;23;15;1;10;9;0;0;0;0
4;1;7;12;49;866;541;12;189;149;85;62;32;0;8;4;0;0;0;0
4;1;5;10;140;401;250;1;111;46;13;66;9;0;4;0;0;0;0;0
4;1;11;16;10;512;280;8;109;85;12;47;9;0;7;3;0;0;0;0
4;1;2;9;24;857;533;18;178;112;56;112;48;0;9;0;0;0;0;0
4;1;11;16;71;416;266;14;111;84;17;26;10;0;3;1;0;0;0;0
4;1;5;10;102;1142;541;15;195;282;15;12;6;0;7;9;0;0;0;0
4;1;10;15;5;838;418;5;194;137;21;21;19;1;3;17;0;0;0;0
4;1;18;23;10;678;516;14;212;168;43;51;24;1;3;0;0;0;0;0
4;1;17;22;60;880;543;13;195;260;27;18;19;1;6;4;0;0;0;0
4;1;5;10;31;940;524;15;169;234;19;40;15;2;5;25;0;0;0;0
4;1;15;20;57;864;486;12;195;135;15;80;24;0;8;17;0;0;0;0
4;1;16;21;12;821;489;18;184;214;22;23;13;0;5;1;0;9;0;0
4;1;7;12;61;654;426;4;173;129;33;53;26;2;5;1;0;0;0;0
4;1;14;19;70;811;531;10;186;102;110;54;64;1;1;3;0;0;0;0
4;1;6;11;52;821;494;6;184;244;12;11;14;0;2;21;0;0;0;0
4;1;5;10;24;748;379;12;173;134;8;13;9;0;3;27;0;0;0;0
4;1;14;19;8;559;336;13;113;52;64;49;39;1;5;0;0;0;0;0
4;1;7;12;50;823;512;10;173;147;75;65;33;0;6;3;0;0;0;0
4;1;18;23;26;793;560;6;153;123;130;52;90;2;4;0;0;0;0;0
4;1;10;15;49;801;438;22;156;109;25;82;19;3;8;14;0;0;0;0
4;1;9;14;47;864;448;7;150;166;20;65;26;0;11;3;0;0;0;0
4;1;11;16;48;735;421;6;155;167;28;42;14;1;1;7;0;0;0;0
4;1;7;12;45;1126;726;36;256;281;53;44;38;3;7;8;0;0;0;0
4;1;14;19;61;585;391;2;110;80;91;51;56;0;1;0;0;0;0;0
4;1;5;10;45;893;456;19;161;168;23;41;27;0;3;14;0;0;0;0
4;1;9;14;30;778;568;26;171;154;93;57;57;1;9;0;0;0;0;0
4;1;14;19;65;798;500;10;207;162;47;28;30;3;4;9;0;0;0;0
4;1;8;13;4;910;521;13;191;138;58;67;40;1;11;2;0;0;0;0
4;1;15;20;0;0;179;1;80;46;19;23;8;0;2;0;0;0;0;0
4;1;2;8;20;760;463;5;164;76;52;117;37;0;12;0;0;0;0;0
4;1;5;10;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;1;6;10;791;457;4;169;92;51;100;34;0;6;0;0;0;0;1
4;1;14;19;33;713;386;19;141;102;52;30;34;3;4;1;0;0;0;0
4;1;6;11;33;897;609;26;218;282;28;23;22;2;6;2;0;0;0;0
4;1;17;22;149;673;414;11;176;112;52;34;24;0;3;1;0;0;1;0
4;1;4;3;49;622;353;3;137;75;49;58;28;0;3;0;0;0;0;0
4;1;5;10;29;829;497;16;200;204;14;14;5;0;2;42;0;0;0;0
4;1;5;10;43;750;416;3;176;118;35;46;21;0;6;11;0;0;0;0
4;1;7;12;37;608;365;2;140;93;44;56;20;0;1;9;0;0;0;0
4;1;11;16;79;496;375;18;116;171;34;18;15;0;2;1;0;0;0;0
4;1;15;20;52;910;483;21;207;174;23;34;13;0;4;7;0;0;0;0
4;1;16;21;68;970;674;22;258;287;30;36;27;0;5;1;0;8;0;0
4;1;9;14;32;731;447;21;140;154;61;38;24;3;3;3;0;0;0;0
4;1;10;15;32;847;568;17;237;99;32;143;30;0;8;2;0;0;0;0
4;1;10;15;6;932;537;7;228;147;29;85;21;1;12;7;0;0;0;0
4;1;2;7;0;0;95;0;40;19;8;21;7;0;0;0;0;0;0;0
4;1;14;19;14;591;377;4;96;67;80;71;59;0;0;0;0;0;0;0
4;1;8;13;38;891;572;10;150;116;149;82;61;0;3;1;0;0;0;0
4;1;17;22;77;704;488;15;220;196;21;19;11;0;5;1;0;0;0;0
4;1;6;11;70;575;353;8;125;150;15;20;21;0;4;10;0;0;0;0
4;1;17;22;109;654;478;10;206;139;45;39;34;0;4;0;0;0;1;0
4;1;17;22;22;952;508;6;203;249;17;7;16;0;2;8;0;0;0;0
4;1;16;21;114;1102;622;28;193;344;11;12;13;1;4;2;0;14;0;0
4;1;14;19;55;644;389;3;140;116;55;43;24;0;7;1;0;0;0;0
4;1;8;13;3;787;515;5;158;170;83;50;39;0;8;2;0;0;0;0
4;1;18;23;58;1077;693;28;279;240;40;51;41;2;10;2;0;0;0;0
4;1;8;13;32;959;613;11;205;131;115;78;69;2;2;0;0;0;0;0
4;1;5;10;135;998;722;12;227;349;44;37;34;6;4;9;0;0;0;0
4;1;9;14;18;1102;680;30;288;188;73;40;53;3;2;3;0;0;0;0
4;1;16;21;77;1010;619;8;235;311;20;9;13;1;3;14;0;5;0;0
4;1;6;11;22;820;498;7;225;125;13;80;31;3;10;4;0;0;0;0
4;1;10;15;38;805;455;15;181;122;30;75;21;0;9;2;0;0;0;0
4;1;13;18;11;687;406;12;123;92;57;72;39;0;7;4;0;0;0;0
4;1;3;2;48;542;351;4;138;81;34;59;32;0;2;1;0;0;0;0
4;1;5;10;63;834;485;10;195;182;29;34;23;0;5;7;0;0;0;0
4;1;12;17;21;999;627;7;222;246;34;65;29;1;8;15;0;0;0;0
4;1;1;6;28;934;537;7;210;142;43;88;30;0;12;1;0;0;0;4
4;1;16;21;11;1101;717;23;279;277;39;41;30;2;3;6;0;17;0;0
4;1;5;10;122;1084;700;38;323;264;34;16;9;1;5;10;0;0;0;0
4;1;11;16;44;473;266;14;55;165;21;4;5;1;1;0;0;0;0;0
4;1;16;21;112;673;490;15;181;154;60;34;27;1;6;0;0;12;0;0
4;1;15;20;17;751;428;12;165;159;23;42;14;1;2;8;2;0;0;0
4;1;14;19;4;787;450;12;198;125;36;41;26;5;6;1;0;0;0;0
4;1;3;2;70;649;401;14;205;122;19;11;7;0;2;21;0;0;0;0
4;1;11;16;19;785;404;11;180;77;21;88;19;0;6;2;0;0;0;0
4;1;13;18;39;909;590;10;160;130;148;53;86;0;3;0;0;0;0;0
4;1;17;22;18;694;369;5;168;152;12;19;7;1;1;4;0;0;0;0
4;1;3;2;10;485;291;3;123;38;13;89;20;0;5;0;0;0;0;0
4;1;11;16;6;664;345;1;149;46;19;93;16;0;12;9;0;0;0;0
4;1;16;21;109;1066;791;29;308;283;51;53;41;1;9;0;0;16;0;0
4;1;17;22;19;825;557;14;228;221;42;29;19;1;1;2;0;0;0;0
4;1;2;8;3;501;308;9;110;70;35;51;28;0;4;1;0;0;0;0
4;1;17;22;13;1038;727;11;296;259;62;62;28;3;2;2;0;0;2;0
4;1;17;22;78;1072;686;12;335;227;42;34;21;3;9;3;0;0;0;0
4;1;17;22;74;696;470;13;158;193;36;40;20;0;4;6;0;0;0;0
4;1;4;3;12;841;499;6;187;91;71;89;50;0;4;1;0;0;0;0
4;1;14;19;57;401;313;22;134;70;75;5;7;0;0;0;0;0;0;0
4;1;13;18;13;989;622;14;239;101;88;124;46;3;6;1;0;0;0;0
4;1;5;10;134;623;435;30;122;184;43;32;20;0;2;2;0;0;0;0
4;1;12;17;26;1136;657;22;248;203;50;77;44;2;8;3;0;0;0;0
4;1;16;21;13;888;514;10;192;248;19;16;11;0;2;5;0;11;0;0
4;1;16;21;117;770;550;13;199;163;80;46;38;1;3;0;0;7;0;0
4;1;7;12;20;919;543;6;228;191;31;58;20;0;6;3;0;0;0;0
4;1;3;2;60;319;171;1;61;45;9;41;11;1;2;0;0;0;0;0
4;1;13;18;26;832;507;13;138;126;84;77;61;2;5;1;0;0;0;0
4;1;17;22;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;5;10;106;817;558;26;267;222;15;11;16;0;1;0;0;0;0;0
4;1;1;1;1;715;387;10;128;86;75;40;44;0;4;0;0;0;0;0
4;1;6;11;51;883;637;26;183;326;44;22;31;1;3;1;0;0;0;0
4;1;13;18;30;955;596;17;243;180;85;39;29;0;3;0;0;0;0;0
4;1;3;2;6;520;289;5;105;76;26;56;14;0;4;3;0;0;0;0
4;1;9;14;12;943;620;30;272;176;71;44;18;4;4;1;0;0;0;0
4;1;5;10;93;882;614;11;239;212;68;48;30;1;4;1;0;0;0;0
4;1;16;21;104;1041;626;29;215;314;18;5;12;1;8;6;0;18;0;0
4;1;9;14;34;649;484;4;158;161;73;43;42;1;1;1;0;0;0;0
4;1;17;22;6;632;431;18;179;91;25;79;38;0;1;0;0;0;0;0
4;1;17;22;31;711;505;15;206;193;34;24;22;1;6;1;0;0;3;0
4;1;6;11;37;754;452;14;184;160;24;38;18;1;4;9;0;0;0;0
4;1;16;21;80;983;602;42;240;259;16;14;10;0;1;10;0;10;0;0
4;1;5;10;97;534;311;10;149;106;10;13;13;0;4;6;0;0;0;0
4;1;11;16;82;544;350;8;138;143;19;19;12;2;3;6;0;0;0;0
4;1;6;11;9;879;498;9;216;219;13;12;17;3;3;6;0;0;0;0
4;1;3;2;40;548;272;2;125;55;9;56;17;0;3;5;0;0;0;0
4;1;17;22;75;467;311;6;111;130;19;24;14;1;4;2;0;0;0;0
4;1;6;11;44;774;454;18;187;200;16;11;13;0;1;8;0;0;0;0
4;1;13;18;1;756;445;11;155;92;49;95;32;1;5;5;0;0;0;0
4;1;17;22;134;891;593;36;217;279;21;8;13;2;6;11;0;0;0;0
4;1;16;21;31;946;607;17;268;238;33;25;15;2;0;2;0;7;0;0
4;1;7;12;6;632;341;6;144;130;12;26;7;3;7;6;0;0;0;0
4;1;14;19;15;641;400;8;136;83;77;51;44;0;1;0;0;0;0;0
4;1;2;7;31;0;3834;33;1391;587;401;992;374;1;54;1;0;0;0;0
4;1;5;10;121;712;451;11;200;169;14;14;9;1;2;31;0;0;0;0
4;1;7;12;54;449;287;11;150;77;36;5;8;0;0;0;0;0;0;0
4;1;9;14;56;1004;726;6;233;213;122;78;67;1;6;0;0;0;0;0
4;1;6;11;26;871;498;17;177;219;26;25;19;2;4;9;0;0;0;0
4;1;12;17;32;869;535;3;178;142;74;64;69;1;3;1;0;0;0;0
4;1;16;21;67;793;556;24;241;184;38;34;26;1;1;0;0;7;0;0
4;1;18;23;27;711;453;15;130;148;72;40;45;1;2;0;0;0;0;0
4;1;3;2;59;578;320;2;130;91;10;61;19;0;7;0;0;0;0;0
4;1;5;10;81;865;415;15;162;188;3;10;10;1;3;23;0;0;0;0
4;1;16;21;96;930;612;20;242;228;24;47;34;2;7;5;0;3;0;0
4;1;9;14;48;825;435;5;175;179;21;40;8;0;1;6;0;0;0;0
4;1;3;2;98;875;436;7;146;129;17;98;28;3;2;6;0;0;0;0
4;1;12;17;0;0;125;3;43;21;18;30;8;0;2;0;0;0;0;0
4;1;14;19;9;845;525;14;171;106;87;67;76;2;2;0;0;0;0;0
4;1;13;18;16;882;525;7;158;94;95;117;51;2;1;0;0;0;0;0
4;1;17;22;62;714;467;8;191;192;29;18;24;0;2;2;0;0;1;0
4;1;15;20;4;848;452;24;169;100;8;97;19;1;7;25;2;0;0;0
4;1;14;19;66;838;477;25;197;137;59;30;23;1;3;2;0;0;0;0
4;1;16;21;16;1149;833;29;282;322;66;81;43;1;4;1;0;4;0;0
4;1;16;21;118;871;637;31;199;229;78;43;32;0;7;1;0;17;0;0
4;1;7;12;65;658;445;25;174;135;42;33;27;1;8;0;0;0;0;0
4;1;11;16;74;586;371;9;165;117;23;15;16;0;4;22;0;0;0;0
4;1;16;21;124;580;318;8;127;95;20;38;28;0;2;0;0;0;0;0
4;1;12;17;20;966;527;3;236;139;38;76;24;1;7;3;0;0;0;0
4;1;2;7;11;641;400;7;149;55;37;110;36;0;5;1;0;0;0;0
4;1;3;2;17;657;337;10;145;72;21;48;34;2;5;0;0;0;0;0
4;1;7;12;63;1186;817;39;365;252;74;40;32;0;7;8;0;0;0;0
4;1;11;16;18;849;479;11;171;142;26;88;22;0;12;7;0;0;0;0
4;1;17;22;135;898;569;17;211;266;23;10;14;2;0;25;0;0;1;0
4;1;11;16;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;7;12;42;985;507;9;212;209;11;21;15;2;7;21;0;0;0;0
4;1;16;21;35;724;411;13;165;199;6;12;5;1;5;2;0;3;0;0
4;1;3;2;68;372;195;3;64;57;18;34;14;0;3;2;0;0;0;0
4;1;3;2;105;0;8221;77;3398;1525;752;1751;547;23;123;25;0;0;0;0
4;1;17;22;130;880;671;20;194;319;70;38;26;0;4;0;0;0;0;0
4;1;17;22;53;664;446;19;193;182;22;14;9;2;2;3;0;0;0;0
4;1;17;22;137;843;471;19;177;207;20;8;14;2;6;17;0;0;1;0
4;1;18;23;35;810;542;21;171;150;94;41;60;1;4;0;0;0;0;0
4;1;17;22;50;975;631;36;230;257;31;35;32;2;4;4;0;0;0;0
4;1;2;9;9;707;437;6;171;71;49;90;42;0;7;1;0;0;0;0
4;1;15;20;6;865;513;12;195;150;56;70;20;1;1;7;1;0;0;0
4;1;5;10;128;831;485;29;211;195;20;2;9;0;2;17;0;0;0;0
4;1;1;1;5;805;419;3;112;101;103;44;48;0;6;2;0;0;0;0
4;1;1;6;1;619;379;4;151;64;38;92;27;0;2;1;0;0;0;0
4;1;18;23;62;788;572;40;206;211;29;36;32;6;7;5;0;0;0;0
4;1;1;4;0;0;112;2;36;24;15;26;9;0;0;0;0;0;0;0
4;1;17;22;146;848;597;8;268;209;42;36;28;1;3;0;0;0;2;0
4;1;3;2;36;405;235;3;96;54;19;43;7;3;6;4;0;0;0;0
4;1;2;7;13;810;489;12;178;66;47;141;37;1;7;0;0;0;0;0
4;1;3;2;21;581;351;10;152;69;22;72;18;0;7;1;0;0;0;0
4;1;4;3;20;893;542;20;217;117;42;90;43;0;7;6;0;0;0;0
4;1;18;23;100;496;315;10;105;124;29;24;17;4;1;1;0;0;0;0
4;1;14;19;0;0;166;2;68;43;14;17;21;0;1;0;0;0;0;0
4;1;1;4;22;1073;595;4;205;114;100;98;66;0;8;0;0;0;0;0
4;1;16;21;73;835;483;19;186;218;7;14;6;1;0;24;0;8;0;0
4;1;12;17;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;5;10;26;657;332;10;145;126;12;17;7;0;3;12;0;0;0;0
4;1;5;10;15;747;417;13;186;136;18;25;11;1;8;19;0;0;0;0
4;1;1;5;12;657;368;9;189;83;15;49;8;1;11;2;0;0;0;1
4;1;18;23;12;745;493;20;176;147;60;46;38;0;4;2;0;0;0;0
4;1;5;10;132;812;609;11;176;241;92;40;37;2;6;4;0;0;0;0
4;1;3;2;7;528;303;8;126;60;16;68;13;1;10;1;0;0;0;0
4;1;2;7;21;752;472;5;169;89;40;125;38;1;2;3;0;0;0;0
4;1;17;22;89;820;548;25;192;223;23;38;41;0;4;2;0;0;0;0
4;1;10;15;12;830;479;4;180;91;32;131;34;1;5;1;0;0;0;0
4;1;14;19;16;665;408;10;103;87;106;55;41;0;6;0;0;0;0;0
4;1;18;23;50;832;596;43;316;162;24;23;21;0;4;3;0;0;0;0
4;1;13;18;29;935;598;21;170;107;101;122;71;0;5;1;0;0;0;0
4;1;1;1;16;515;287;9;107;49;54;40;21;0;4;1;0;0;0;2
4;1;4;3;8;875;560;3;217;142;44;95;46;1;10;2;0;0;0;0
4;1;5;10;39;781;441;18;194;128;27;33;18;2;3;18;0;0;0;0
4;1;16;21;83;1031;636;20;277;257;30;6;5;0;4;19;0;18;0;0
4;1;9;14;8;1001;504;22;158;127;49;105;40;2;1;0;0;0;0;0
4;1;12;17;5;779;401;5;152;78;37;89;31;1;5;3;0;0;0;0
4;1;9;14;11;585;395;10;136;111;66;36;33;2;1;0;0;0;0;0
4;1;8;13;26;1055;701;8;195;152;157;109;74;0;5;1;0;0;0;0
4;1;12;17;7;920;533;7;199;140;47;93;34;0;10;3;0;0;0;0
4;1;17;22;25;975;602;9;255;228;46;24;25;0;0;13;0;0;2;0
4;1;1;5;19;987;541;36;206;133;47;87;19;1;7;4;0;0;0;1
4;1;17;22;37;761;464;7;183;173;30;28;34;1;4;4;0;0;0;0
4;1;18;23;76;713;469;31;155;115;62;56;38;4;7;1;0;0;0;0
4;1;17;22;102;819;508;14;177;160;43;81;28;0;4;1;0;0;0;0
4;1;17;22;32;1020;573;9;228;169;35;74;38;1;14;3;0;0;2;0
4;1;15;20;32;729;400;11;192;151;17;7;11;0;3;8;0;0;0;0
4;1;3;2;84;690;515;13;221;176;38;44;18;2;2;1;0;0;0;0
4;1;2;9;23;911;539;10;200;78;63;131;50;0;5;2;0;0;0;0
4;1;5;10;124;1102;657;10;262;308;30;16;7;1;3;20;0;0;0;0
4;1;16;21;90;833;585;16;215;276;26;16;20;1;2;1;0;12;0;0
4;1;18;23;8;560;407;4;191;130;43;18;15;2;3;1;0;0;0;0
4;1;6;11;1;568;319;3;170;115;4;6;7;0;3;11;0;0;0;0
4;1;18;23;98;353;251;6;75;110;13;20;23;0;2;2;0;0;0;0
4;1;4;3;56;952;563;20;211;95;96;80;54;1;5;1;0;0;0;0
4;1;1;5;34;414;230;11;104;45;15;38;10;1;2;3;0;0;0;1
4;1;3;2;13;596;377;5;155;82;28;75;23;2;5;2;0;0;0;0
4;1;11;16;24;569;343;6;140;102;22;50;10;2;3;8;0;0;0;0
4;1;6;11;7;945;568;7;194;298;19;21;12;0;2;15;0;0;0;0
4;1;14;19;68;551;348;14;99;76;79;34;42;1;3;0;0;0;0;0
4;1;16;21;99;439;310;16;112;122;23;14;15;0;1;4;0;3;0;0
4;1;18;23;19;678;457;21;168;134;42;43;46;0;3;0;0;0;0;0
4;1;1;1;18;562;304;5;106;62;59;33;37;0;2;0;0;0;0;0
4;1;18;23;75;500;304;14;118;130;15;4;8;1;5;9;0;0;0;0
4;1;11;16;58;689;402;16;158;136;33;35;13;0;6;5;0;0;0;0
4;1;1;4;20;912;572;26;191;119;65;117;44;1;7;1;0;0;0;1
4;1;3;2;46;555;339;10;139;54;34;68;23;2;9;0;0;0;0;0
4;1;7;12;40;787;419;10;170;109;43;57;19;0;8;3;0;0;0;0
4;1;16;21;66;810;551;34;173;242;29;36;23;0;3;0;0;11;0;0
4;1;5;10;87;697;410;12;160;161;40;14;11;1;2;9;0;0;0;0
4;1;6;11;10;848;555;9;240;162;31;69;31;1;6;6;0;0;0;0
4;1;11;16;50;698;394;17;158;147;28;25;6;1;4;8;0;0;0;0
4;1;7;12;4;822;424;20;172;99;27;70;23;0;9;4;0;0;0;0
4;1;4;3;21;905;549;18;226;153;38;77;22;2;12;1;0;0;0;0
4;1;16;21;52;760;557;15;230;189;40;32;30;0;1;2;0;18;0;0
4;1;9;14;43;1030;533;14;228;113;35;84;35;2;7;15;0;0;0;0
4;1;9;14;70;0;8607;77;3311;2161;1109;1224;603;24;86;12;0;0;0;0
4;1;4;3;47;643;369;7;145;91;29;61;26;0;7;3;0;0;0;0
4;1;8;13;1;1053;646;8;168;167;144;92;61;0;5;1;0;0;0;0
4;1;6;11;20;802;455;15;195;190;17;6;8;1;5;18;0;0;0;0
4;1;18;23;97;790;512;17;189;166;46;51;31;0;5;7;0;0;0;0
4;1;14;19;51;752;452;10;180;124;67;40;25;0;1;5;0;0;0;0
4;1;5;10;8;640;339;8;132;152;9;21;8;2;3;4;0;0;0;0
